Timestamp,CPU_Usage_Percent,Memory_Usage_Percent
2025-07-20 21:29:00,0.00,85.00
2025-07-20 21:29:05,8.10,85.00
2025-07-20 21:29:10,7.20,84.80
2025-07-20 21:29:15,6.70,84.60
2025-07-20 21:29:20,7.90,84.80
2025-07-20 21:29:25,9.50,84.60
2025-07-20 21:29:31,8.50,84.70
2025-07-20 21:29:36,10.90,84.60
2025-07-20 21:29:41,8.50,84.70
2025-07-20 21:29:46,6.40,84.60
2025-07-20 21:29:51,7.60,84.70
2025-07-20 21:29:56,7.70,84.70
